Customer Id,YearOfObservation,Insured_Period,Residential,Building_Painted,Building_Fenced,Garden,Settlement,Building Dimension,Building_Type,Date_of_Occupancy,Geo_Code,Claim,   .,1,2,3,4,5,6,7,8,9,>=10,paint_fence,month
H14663,2013,1.0,0,1,0,1.0,1,290.0,1,1960.0,5,0,1,0,0,0,0,0,0,0,0,0,0,1,12
H2037,2015,1.0,0,0,1,0.0,0,490.0,1,1850.0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,12
H3802,2014,1.0,0,1,0,1.0,1,595.0,1,1960.0,5,0,1,0,0,0,0,0,0,0,0,0,0,1,12
H3834,2013,1.0,0,0,0,1.0,1,2840.0,1,1960.0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,12
H5053,2014,1.0,0,0,1,0.0,0,680.0,1,1800.0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,12
H4977,2012,1.0,0,0,1,0.0,0,535.0,1,1980.0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,12
H7390,2012,1.0,0,1,0,1.0,1,2830.0,1,1988.0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,12
H14488,2015,1.0,0,1,0,1.0,1,4952.0,1,1988.0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,12
H19355,2014,1.0,0,0,1,0.0,0,2735.0,1,2013.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,12
H18601,2015,1.0,0,0,1,0.0,0,520.0,1,2011.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,12
H18177,2013,0.24109589,0,0,1,0.0,0,550.0,1,1960.0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,3
H356,2013,1.0,0,0,0,1.0,1,910.0,1,1960.0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,12
H15676,2013,1.0,0,0,1,0.0,0,842.0,1,1550.0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,12
H19442,2014,0.8438356159999999,0,0,1,0.0,0,300.0,1,1900.0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,9
H14635,2012,1.0,0,1,0,1.0,1,560.0,1,1960.0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,12
H13053,2012,1.0,0,0,1,0.0,0,3326.0,1,2007.0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,12
H14330,2014,1.0,0,1,0,1.0,1,3990.0,1,1988.0,3,1,1,0,0,0,0,0,0,0,0,0,0,1,12
H14331,2015,1.0,0,1,0,1.0,1,3990.0,1,1988.0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,12
H19461,2015,1.0,0,0,1,0.0,0,2444.0,1,1970.0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,12
H19462,2016,1.0,0,0,1,0.0,0,2444.0,1,1970.0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,12
H17764,2016,0.956284153,0,0,1,0.0,0,1626.0,1,1950.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,12
H16563,2016,0.99726776,0,0,1,0.0,0,2400.0,1,1700.0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,12
H2103,2012,1.0,0,0,1,0.0,0,250.0,1,1900.0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,12
H4421,2012,1.0,1,0,1,0.0,0,2300.0,1,1970.0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,12
H4438,2016,0.99726776,0,1,0,1.0,1,600.0,1,1980.0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,12
H15578,2012,1.0,0,0,1,0.0,0,5439.0,1,1976.0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,12
H15579,2014,1.0,0,0,1,0.0,0,5439.0,1,1976.0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,12
